Trial-ID,Status,Iteration,batch_size,num_layers,num_units,Objective,loss
19,INTERMEDIATE,6,4096,14,198,348.3193015556245,351.7394597849363
21,INTERMEDIATE,6,4096,6,256,346.99949148642537,347.78558590941344
20,INTERMEDIATE,9,8192,12,240,348.6012199708474,346.5691921709124
20,COMPLETED,9,8192,12,240,344.76556454200835,349.7089695587512
22,INTERMEDIATE,5,4096,6,255,349.30932805667817,350.2036212735276
21,INTERMEDIATE,7,4096,6,256,344.03987771343117,345.8041748377305
23,INTERMEDIATE,0,4096,6,256,382.870461385019,448.27326046028344
22,INTERMEDIATE,6,4096,6,255,346.0268755071834,347.7642630291649
19,INTERMEDIATE,7,4096,14,198,349.1932930732168,349.92325321796415
21,INTERMEDIATE,8,4096,6,256,339.66790520327595,344.27005031730255
23,INTERMEDIATE,1,4096,6,256,364.9223573427674,377.3086391310312
22,INTERMEDIATE,7,4096,6,255,340.5715612361899,345.79309702767756
21,INTERMEDIATE,9,4096,6,256,340.66877895382277,342.9070952519463
21,COMPLETED,9,4096,6,256,339.66790520327595,344.27005031730255
23,INTERMEDIATE,2,4096,6,256,358.77601770982676,364.0320286555338
19,INTERMEDIATE,8,4096,14,198,345.481472249854,348.596559555514
22,INTERMEDIATE,8,4096,6,255,341.36669556187115,344.1211191724643
24,INTERMEDIATE,0,4096,6,256,387.5319930317836,450.05663248815927
23,INTERMEDIATE,3,4096,6,256,350.5529683881899,357.122662159978
22,INTERMEDIATE,9,4096,6,255,339.6937101467845,342.8081547382352
22,COMPLETED,9,4096,6,255,339.6937101467845,342.8081547382352
19,INTERMEDIATE,9,4096,14,198,343.7490677574284,347.2808701322693
19,COMPLETED,9,4096,14,198,343.7490677574284,347.2808701322693
24,INTERMEDIATE,1,4096,6,256,368.7879166208542,377.2993515232968
23,INTERMEDIATE,4,4096,6,256,350.7284461758661,353.1150311250974
25,INTERMEDIATE,0,4096,6,256,386.7469202046135,447.9241849953872
26,INTERMEDIATE,0,4096,6,256,384.8515378171952,450.10676641088077
24,INTERMEDIATE,2,4096,6,256,356.5864612272727,363.938518338303
23,INTERMEDIATE,5,4096,6,256,345.7990888726345,350.21623464231794
